,ccode,country,year,Total ,age 15-17,age 18-19,<20,>20,age 20-34,age 35-49
180,PER,Peru,2009.0,94.35335053420572,88.9943337322435,94.86940487932368,92.3027961446931,94.73511651082265,94.95959128926467,93.87123645974886
181,PER,Peru,2010.0,94.32607404765842,94.07644833185707,92.74501334682344,93.28097440666625,94.51959350314264,94.74944760765763,93.5765131792819
182,PER,Peru,2011.0,95.27950346604123,92.51320689178506,95.84922812713836,94.42819721720394,95.42155545420187,95.55085193101544,94.90042630549121
183,PER,Peru,2012.0,95.87091221209856,94.76232579754569,94.85898281270084,94.81438067071035,96.05502621860063,96.33080814006445,94.86334800646699
184,PHL,Philippines,2003.0,86.7762316993549,82.98815806350392,90.53797115405656,88.54618349432398,86.59772204236894,88.14480019706463,80.19063393604289
185,PHL,Philippines,2008.0,90.81209877205208,87.77760133441916,91.5980976641683,90.50292524347186,90.85129748127557,91.79829369022522,86.72158571319979
186,PHL,Philippines,2013.0,95.25074329403023,95.28636751481005,96.06432565688515,95.78543121406501,95.17341493877458,95.56063986269707,93.55171745663243
187,RWA,Rwanda,2000.0,93.042005434612,85.97854400895298,94.69959209852573,92.92419631536889,93.05102812179676,93.65551277363797,91.11285357350047
188,RWA,Rwanda,2005.0,94.79787451237918,89.43496775799072,95.5561362943677,94.12933141905432,94.82973897835551,95.2661704473582,93.2552950799964
189,RWA,Rwanda,2008.0,96.18266190869451,92.5561536685246,94.35486079251244,93.97985118957176,96.27962447701182,96.21949680898591,96.51693842497878
190,RWA,Rwanda,2010.0,98.00364131451961,95.2991230450386,97.27196447080438,96.91948172338013,98.0812020388822,98.39049748640103,96.67548081433338
191,LCA,Saint Lucia,2012.0,96.89387885474274,0.0,100.0,96.56977263372598,96.94099551966893,99.4234052794249,81.05596401613707
192,STP,Sao Tome and Principe,2000.0,90.58737558316992,100.0,76.31444483218779,80.8752397286655,94.76620100360688,96.31384228401045,83.8225502499227
